Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
67,move,"move 15 16",3,823,120,10,16,12,-4,18,22,110,15,16
68,move,"move 17 13",1,828,120,10,17,13,-4,18,22,110,15,16
69,move,"move 16 17",3,833,120,10,17,13,-4,18,22,110,16,17
70,dig,"dig 18 14",1,840,120,10,17,13,-4,18,22,110,16,17
71,snowball,"snowball 18 18",3,837,112,10,17,13,-4,18,22,102,16,17
72,move,"move 18 14",1,842,112,10,18,14,-4,18,22,102,16,17
73,snowball,"snowball 18 17",3,842,112,10,18,14,-4,18,22,102,16,17
74,dig,"dig 18 15",1,846,104,10,18,14,-4,18,22,94,16,17
75,snowball,"snowball 18 17",3,880,104,10,18,14,-4,18,22,94,16,17
76,shoot,"shoot S",1,880,104,10,18,14,-4,18,22,94,16,17
77,shoot,"shoot E",3,896,104,10,18,14,-4,18,22,94,16,17
78,shoot,"shoot S",1,896,104,10,18,14,-4,18,22,94,16,17
79,shoot,"shoot E",3,912,104,10,18,14,-4,18,22,94,16,17
80,shoot,"shoot S",1,926,96,10,18,14,-4,18,22,86,16,17
81,snowball,"snowball 18 17",3,960,96,10,18,14,-4,18,22,86,16,17
82,shoot,"shoot S",1,960,96,10,18,14,-4,18,22,86,16,17
83,shoot,"shoot E",3,1016,96,10,18,14,-4,18,22,86,16,17
84,shoot,"shoot S",1,1016,96,10,18,14,-4,18,22,86,16,17
85,move,"move 17 16",3,1021,96,10,18,14,-4,18,22,86,17,16
86,shoot,"shoot S",1,1034,88,2,18,14,-4,18,22,86,17,16
87,shoot,"shoot E",3,1049,86,-6,18,14,-4,18,22,86,17,16
88,shoot,"shoot E",3,1063,78,-6,18,14,-4,18,22,78,17,16
89,shoot,"shoot E",3,1076,70,-6,18,14,-4,18,22,70,17,16
90,shoot,"shoot E",3,1089,62,-6,18,14,-4,18,22,62,17,16
91,shoot,"shoot E",3,1103,54,-6,18,14,-4,18,22,54,17,16
92,shoot,"shoot E",3,1116,46,-6,18,14,-4,18,22,46,17,16
93,shoot,"shoot E",3,1129,38,-6,18,14,-4,18,22,38,17,16
94,shoot,"shoot E",3,1143,30,-6,18,14,-4,18,22,30,17,16
95,shoot,"shoot E",3,1156,22,-6,18,14,-4,18,22,22,17,16
96,shoot,"shoot E",3,1169,14,-6,18,14,-4,18,22,14,17,16
